date,value
2023-10-09,76814
2023-10-10,62830
2023-10-11,58050
2023-10-12,75591
2023-10-13,67548
2023-10-14,48279
2023-10-15,23794
2023-10-16,29786
2023-10-17,59268
2023-10-18,701
2023-10-19,75588
2023-10-20,90391
2023-10-21,85267
2023-10-22,56599
2023-10-23,76769
2023-10-24,67216
2023-10-25,28425
2023-10-26,20581
2023-10-27,55271
2023-10-28,48844
2023-10-29,44377
2023-10-30,24574
2023-10-31,28384
2023-11-01,22391
2023-11-02,82147
2023-11-03,37826
2023-11-04,96139
2023-11-05,28668
2023-11-06,31314
2023-11-07,26243
2023-11-08,21061
2023-11-09,33323
2023-11-10,86174
2023-11-11,76031
2023-11-12,67624
2023-11-13,98532
2023-11-14,26882
2023-11-15,93731
2023-11-16,7831
2023-11-17,49823
2023-11-18,97117
2023-11-19,88241
2023-11-20,9039
2023-11-21,89606
2023-11-22,2128
2023-11-23,60629
2023-11-24,80548
2023-11-25,13572
2023-11-26,64213
2023-11-27,92121
2023-11-28,41599
2023-11-29,41012
2023-11-30,59673
2023-12-01,18367
2023-12-02,74240
2023-12-03,63790
2023-12-04,70332
2023-12-05,76690
2023-12-06,83421
2023-12-07,94085
2023-12-08,11213
2023-12-09,28852
2023-12-10,39031
2023-12-11,14009
2023-12-12,52822
2023-12-13,14356
2023-12-14,23276
2023-12-15,18040
2023-12-16,41909
2023-12-17,4475
2023-12-18,57115
2023-12-19,34247
2023-12-20,65834
2023-12-21,5443
2023-12-22,31743
2023-12-23,33397
2023-12-24,3623
2023-12-25,99075
2023-12-26,89054
2023-12-27,82678
2023-12-28,93693
2023-12-29,70677
2023-12-30,58067
2023-12-31,41748
